strategy,period_start_h,method,n,n_uncensored,n_covariates,converged,iterations,max_abs_delta,auc,calib_intercept,calib_slope,p_min,p_p01,p_p50,p_p99,p_max,p_lt_1e4,degenerate
delayed_96,24,ridge_0.01,9277,8917,28,True,,,0.6961537263404484,-0.0013799507126880562,1.0004975324502834,0.6968919795130366,0.8531045385083584,0.9652590276998211,0.9977865275176709,0.9996232610042828,0,
delayed_96,30,ridge_0.01,8802,8482,28,True,,,0.6697539642772931,-0.0013421406762507116,1.0004736764810034,0.7531359477440023,0.8778632368943833,0.968765931608503,0.9942148807593718,0.9979873416179467,0,
delayed_96,36,ridge_0.01,8423,8039,28,True,,,0.6609899137537837,-0.0015572741614315424,1.000572393847113,0.7444460730930674,0.8508653103910023,0.9564707489322196,0.9951091647299779,0.9981782338018929,0,
delayed_96,42,ridge_0.01,8009,7643,28,True,,,0.6579340787563033,-0.001968418210651779,1.0007219785998769,0.7642866794901579,0.8698896534335671,0.9596525589510926,0.9895979685098913,0.9947711080650735,0,
delayed_96,48,ridge_0.01,7582,7359,28,True,,,0.6297782465813192,-0.006297818676311054,1.0019246620101256,0.9157296802911737,0.9384960081283438,0.9704324450991677,0.9957123244801317,0.9979425068946428,0,
delayed_96,54,ridge_0.01,7291,7094,28,True,,,0.6697452197395669,-0.003983718053223777,1.0012376343084362,0.8697758321564901,0.9227960307251586,0.9757725808377536,0.9959975955932181,0.9984485260924935,0,
delayed_96,60,ridge_0.01,7057,6828,28,True,,,0.6943340163672318,-0.0026591598361815636,1.0008988410985185,0.4922559053768433,0.8593322260094061,0.9737166693431692,0.9966183268670419,0.9992193361894636,0,
delayed_96,66,ridge_0.01,6815,6593,28,True,,,0.6852319481623289,-0.003957612338555992,1.0013113183324351,0.794546093972779,0.8884484210673063,0.9732729315326948,0.9942654717907208,0.9974932043460848,0,
delayed_96,72,ridge_0.01,6556,6418,28,True,,,0.6830415814218164,-0.0066472929804226736,1.0019256833983983,0.8155108589254567,0.924775817413851,0.9829171218002954,0.996499355461913,0.9985213362741141,0,
delayed_96,78,ridge_0.01,6380,6262,28,True,,,0.7127603137569087,-0.006654688314930364,1.001932205675983,0.8145511766166175,0.9226072853343968,0.9865151061667459,0.9976260742124713,0.9994603118070119,0,
delayed_96,84,ridge_0.01,6231,6123,28,True,,,0.724678050580386,-0.0022297535660877154,1.000701999881502,0.8495254473892444,0.9257144623020362,0.9879745628282431,0.9985442811594101,0.9997214174524773,0,
delayed_96,90,ridge_0.01,6112,6006,28,True,,,0.7137280958035676,-0.00876797417376883,1.0025157757301397,0.8663881174950968,0.9251835770767702,0.9883879011345643,0.997716779836311,0.999253278992931,0,
early_48,0,firth,10927,10927,28,True,0,0.0,,,,1.0,1.0,1.0,1.0,1.0,0,all_uncensored
early_48,6,firth,10724,10724,28,True,0,0.0,,,,1.0,1.0,1.0,1.0,1.0,0,all_uncensored
early_48,12,firth,10614,10614,28,True,0,0.0,,,,1.0,1.0,1.0,1.0,1.0,0,all_uncensored
early_48,18,firth,10547,10547,28,True,0,0.0,,,,1.0,1.0,1.0,1.0,1.0,0,all_uncensored
early_48,24,firth,10431,10431,28,True,0,0.0,,,,1.0,1.0,1.0,1.0,1.0,0,all_uncensored
early_48,30,firth,10313,10313,28,True,0,0.0,,,,1.0,1.0,1.0,1.0,1.0,0,all_uncensored
early_48,36,firth,10247,10247,28,True,0,0.0,,,,1.0,1.0,1.0,1.0,1.0,0,all_uncensored
early_48,42,firth,10208,2626,28,True,7,3.088525555593686e-10,0.6762201654899577,0.0006368089686462752,1.0041002502260508,0.014739201075523841,0.048980099655078414,0.24982227446438962,0.6352056502659869,0.805592779453764,0,
early_48,48,firth,2554,2554,28,True,0,0.0,,,,1.0,1.0,1.0,1.0,1.0,0,all_uncensored
early_48,54,firth,2530,2530,28,True,0,0.0,,,,1.0,1.0,1.0,1.0,1.0,0,all_uncensored
early_48,60,firth,2516,2516,28,True,0,0.0,,,,1.0,1.0,1.0,1.0,1.0,0,all_uncensored
early_48,66,firth,2510,2510,28,True,0,0.0,,,,1.0,1.0,1.0,1.0,1.0,0,all_uncensored
early_48,72,firth,2497,2497,28,True,0,0.0,,,,1.0,1.0,1.0,1.0,1.0,0,all_uncensored
early_48,78,firth,2482,2482,28,True,0,0.0,,,,1.0,1.0,1.0,1.0,1.0,0,all_uncensored
early_48,84,firth,2469,2469,28,True,0,0.0,,,,1.0,1.0,1.0,1.0,1.0,0,all_uncensored
early_48,90,firth,2466,2466,28,True,0,0.0,,,,1.0,1.0,1.0,1.0,1.0,0,all_uncensored
delayed_96,0,firth,10927,10835,28,True,21,2.3890906759709197e-09,0.7441905258722739,-0.04511020011261361,1.0436233399437447,0.892041065119146,0.9545549658179391,0.9922599157565659,0.9999783707775851,0.9999999946113658,0,
delayed_96,6,firth,10632,10438,28,True,13,5.937714921355072e-09,0.6840371126119275,-0.007771912076767971,1.0204839414209046,0.835296160381102,0.9289042847814728,0.9831612806584862,0.9982611722040211,0.9999565641466687,0,
delayed_96,12,firth,10329,9946,28,True,11,2.7544943133280434e-09,0.6679830877863177,-0.0025900999172867294,1.0120312723963263,0.7732186311843948,0.8853858270650211,0.9659643615427869,0.9955831185922808,0.9999093624922023,0,
delayed_96,18,firth,9880,9387,28,True,10,3.541677473354817e-09,0.6878921282313744,0.0019335385600554086,1.0088479069472152,0.6258664181865308,0.8196466937200015,0.9563487737217697,0.9940674704056662,0.9998306664049514,0,
delayed_96,24,firth,9277,8917,28,True,12,7.630819973936239e-10,0.6959979689232801,-0.00833258671688324,1.0151020440888223,0.6853391578518407,0.8500025371431058,0.963995640755653,0.9973821111661949,0.9995108577464887,0,
delayed_96,30,firth,8802,8482,28,True,11,1.3236454570167641e-09,0.6696415939636878,0.005252991269030654,1.0115912559752887,0.7493824160916169,0.8744494071019231,0.9676103447609452,0.9935545719120783,0.9976732561430528,0,
delayed_96,36,firth,8423,8039,28,True,11,7.703937870786785e-10,0.6611165749264004,-0.011485439455873811,1.0158547160880778,0.7437080838174047,0.847618485431285,0.9551473295029037,0.994507111975716,0.9979091209625739,0,
delayed_96,42,firth,8009,7643,28,True,10,2.698911124614685e-09,0.6579001178978015,0.013950161782858926,1.0074076490869797,0.7600115315553994,0.8661245711404695,0.9581905400179663,0.9888568711587649,0.9944059935109294,0,
delayed_96,48,firth,7582,7359,28,True,12,6.91647834627946e-10,0.629901947342475,-0.07650244436502181,1.0406771886280866,0.9128130592040676,0.9357402128057257,0.96879725476425,0.9950596726489916,0.9974630884409277,0,
delayed_96,54,firth,7291,7094,28,True,12,1.7570072031204893e-09,0.6692099851307819,-0.00466747974553539,1.0211682902194785,0.8660075893036396,0.9186765381730075,0.9743533245623651,0.9953878946507136,0.9981732545866723,0,
delayed_96,60,firth,7057,6828,28,True,11,7.233849553133569e-09,0.693675285173048,0.0020386886589630637,1.0175318502476798,0.4874971768632873,0.8526615741964259,0.9722631273856022,0.996019498668721,0.9988729393976428,0,
delayed_96,66,firth,6815,6593,28,True,11,2.05259789513752e-09,0.6847735039756881,0.03013227027751353,1.0089135126681377,0.7860377460275201,0.8828677573807437,0.9716664836369491,0.9937120001513292,0.9969913564927039,0,
delayed_96,72,firth,6556,6418,28,True,13,1.3951379320747637e-09,0.6832188455476219,0.04134186126005514,1.0147071626350215,0.8044098867538345,0.9186524610608813,0.9812456697398345,0.9958845225379053,0.9980305814983429,0,
delayed_96,78,firth,6380,6262,28,True,13,3.0423108244333696e-09,0.7124043869668542,0.036642470773205385,1.0200611342772745,0.7991836988902641,0.9157487949887988,0.9848634663595466,0.9969826991651086,0.9990272325368742,0,
delayed_96,84,firth,6231,6123,28,True,13,5.0084336730866284e-09,0.7228573502458853,0.07155697353052883,1.012857979428988,0.8390744673645004,0.9174204030927751,0.9864099823176024,0.9982140900187212,0.9996293736694624,0,
delayed_96,90,firth,6112,6006,28,True,14,1.2321728545633323e-09,0.7139966951287706,0.06521837981879995,1.015220929266008,0.8487703183493571,0.918209983600275,0.986876795700925,0.9972086978593185,0.9990583186425728,0,
